Type,Action,Campaign,Ad Group,Status,Budget,Bid strategy type,Max CPC,Networks,Ad Schedule,Start date,Keyword,Match type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Sitelink text,Sitelink description 1,Sitelink description 2,Sitelink Final URL,Callout text,Location,Political ads confirmation
Campaign,Add,Channel Letters - GTA,,Paused,30.00,Maximize Clicks,,Google Search,(Monday[10:00-18:00]);(Tuesday[10:00-18:00]);(Wednesday[10:00-18:00]);(Thursday[10:00-18:00]);(Friday[10:00-18:00]),2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30.0mi:43.836102:-79.50821),Not a political ad
Ad Group,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,channel letters,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,channel letters vaughan,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,channel letter signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,illuminated channel letters,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,channel letters toronto,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,LED channel letters,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,halo lit channel letters,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
