Campaign,Type,Image
"Channel Letters - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-pullman-2.jpg"
"Channel Letters - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-walking-on-a-cloud.jpg"
"Channel Letters - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-freshii.jpg"
"Storefront Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/storefront-signs/storefront-1.png"
"Storefront Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/storefront-signs/storefront-4.png"
"Storefront Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/storefront-signs/storefront-smoke-bbq.jpg"
"Vehicle Wraps - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/vehicle-wraps/wrap-plumbing.jpg"
"Vehicle Wraps - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/vehicle-wraps/wrap-hvac.jpg"
"Vehicle Wraps - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/vehicle-wraps/wrap-fleet.jpg"
"Illuminated Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-ethan-allen.jpg"
"Illuminated Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-norma-reed.jpg"
"Pylon Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/pylon-signs/pylon-1.jpg"
"Pylon Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/pylon-signs/pylon-2.jpg"
"Pylon Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/pylon-signs/pylon-3.jpg"
"Office & Indoor Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/indoor-signs/indoor-1.jpg"
"Office & Indoor Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/indoor-signs/indoor-2.jpg"
"Office & Indoor Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/indoor-signs/indoor-3.jpg"
"3D Signs & Lettering - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/3d-signs/3d-1.jpg"
"3D Signs & Lettering - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/3d-signs/3d-2.jpg"
"3D Signs & Lettering - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/3d-signs/3d-3.jpg"
"Window Graphics - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/window-graphics/window-1.jpg"
"Window Graphics - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/window-graphics/window-2.jpg"
"Window Graphics - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/window-graphics/window-3.jpg"
"Construction Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/construction/construction-1.jpg"
"Construction Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/construction/construction-2.jpg"
"Construction Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/construction/construction-3.jpg"
"Digital Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/digital/digital-1.jpg"
"Digital Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/digital/digital-2.jpg"
"Awning Graphics - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/awnings/awning-1.jpg"
"Awning Graphics - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/awnings/awning-2.jpg"
"LED Backlit Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-avalee.jpg"
"LED Backlit Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/gallery/channel-letters/channel-9601.jpg"
"Custom Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/heroes/hero-quantum.jpg"
"Custom Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/heroes/storefront-golden-hour.jpg"
"Custom Signs - GTA","Campaign Image Asset","https://custombusinesssigns.ca/images/heroes/pylon-road.jpg"
